price,src_stops,dest_stops,src_airport_stops,dest_airport_stops,src_duration,dest_duration,src_airport,dest_airport,src_time,dest_time,src_carrier,dest_carrier,sort
$1668,1,2,CAN,"SYD, LAX",32h 40m,33h 16m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 9:11 pm +1,China Southern,Virgin Australia,best
$1477,1,2,DOH,"DOH, BOS",33h 20m,31h 06m,JFK ‐ PER,PER ‐ EWR,9:00 pm — 6:20 pm +2,10:50 pm — 5:56 pm +1,Qatar Airways,Qatar Airways,best
$1800,1,1,HKG,HKG,24h 35m,25h 15m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,25h 05m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,27h 35m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 10:45 pm,Cathay Pacific,Cathay Pacific,best
$1940,1,1,HKG,HKG,24h 35m,27h 00m,JFK ‐ PER,PER ‐ EWR,10:00 am — 10:35 pm +1,7:10 am — 10:10 pm,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,32h 20m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 8:15 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,33h 00m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,34h 50m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 10:45 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,33h 00m,25h 05m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1927,1,1,CAN,HKG,32h 40m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 1:10 pm +1,China Southern,Cathay Pacific,best
$1940,1,1,HKG,HKG,32h 40m,25h 15m,EWR ‐ PER,PER ‐ JFK,1:55 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$2230,1,2,HKG,"SYD, DFW",24h 35m,26h 44m,JFK ‐ PER,PER ‐ LGA,10:00 am — 10:35 pm +1,5:15 am — 7:59 pm,Cathay Pacific,Qantas Airways,best
$1653,1,2,CAN,"SYD, LAX",32h 40m,28h 22m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 4:17 pm +1,China Southern,Virgin Australia,best
$1678,2,2,"LAX, MEL","SYD, LAX",31h 35m,28h 22m,JFK ‐ PER,PER ‐ JFK,3:30 pm — 11:05 am +2,11:55 pm — 4:17 pm +1,Delta,Delta,best
$1715,1,2,CAN,"MEL, LAX",32h 40m,28h 50m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:50 pm — 4:40 pm +1,China Southern,Qantas Airways,best
$1738,1,1,CAN,DXB,32h 40m,28h 05m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,10:20 pm — 2:25 pm +1,China Southern,Emirates,best
$1668,1,2,CAN,"SYD, LAX",32h 40m,33h 16m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 9:11 pm +1,China Southern,Virgin Australia,best
$1477,1,2,DOH,"DOH, BOS",33h 20m,31h 06m,JFK ‐ PER,PER ‐ EWR,9:00 pm — 6:20 pm +2,10:50 pm — 5:56 pm +1,Qatar Airways,Qatar Airways,best
$1800,1,1,HKG,HKG,24h 35m,25h 15m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,25h 05m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,27h 35m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 10:45 pm,Cathay Pacific,Cathay Pacific,best
$1940,1,1,HKG,HKG,24h 35m,27h 00m,JFK ‐ PER,PER ‐ EWR,10:00 am — 10:35 pm +1,7:10 am — 10:10 pm,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,32h 20m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 8:15 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,33h 00m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,34h 50m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 10:45 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,33h 00m,25h 05m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1927,1,1,CAN,HKG,32h 40m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 1:10 pm +1,China Southern,Cathay Pacific,best
$1940,1,1,HKG,HKG,32h 40m,25h 15m,EWR ‐ PER,PER ‐ JFK,1:55 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$2230,1,2,HKG,"SYD, DFW",24h 35m,26h 44m,JFK ‐ PER,PER ‐ LGA,10:00 am — 10:35 pm +1,5:15 am — 7:59 pm,Cathay Pacific,Qantas Airways,best
$1653,1,2,CAN,"SYD, LAX",32h 40m,28h 22m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 4:17 pm +1,China Southern,Virgin Australia,best
$1678,2,2,"LAX, MEL","SYD, LAX",31h 35m,28h 22m,JFK ‐ PER,PER ‐ JFK,3:30 pm — 11:05 am +2,11:55 pm — 4:17 pm +1,Delta,Delta,best
$1715,1,2,CAN,"MEL, LAX",32h 40m,28h 50m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:50 pm — 4:40 pm +1,China Southern,Qantas Airways,best
$1738,1,1,CAN,DXB,32h 40m,28h 05m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,10:20 pm — 2:25 pm +1,China Southern,Emirates,best
$1668,1,2,CAN,"SYD, LAX",32h 40m,33h 16m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 9:11 pm +1,China Southern,Virgin Australia,best
$1477,1,2,DOH,"DOH, BOS",33h 20m,31h 06m,JFK ‐ PER,PER ‐ EWR,9:00 pm — 6:20 pm +2,10:50 pm — 5:56 pm +1,Qatar Airways,Qatar Airways,best
$1800,1,1,HKG,HKG,24h 35m,25h 15m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,25h 05m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,27h 35m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 10:45 pm,Cathay Pacific,Cathay Pacific,best
$1940,1,1,HKG,HKG,24h 35m,27h 00m,JFK ‐ PER,PER ‐ EWR,10:00 am — 10:35 pm +1,7:10 am — 10:10 pm,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,32h 20m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 8:15 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,33h 00m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,34h 50m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 10:45 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,33h 00m,25h 05m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1927,1,1,CAN,HKG,32h 40m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 1:10 pm +1,China Southern,Cathay Pacific,best
$1940,1,1,HKG,HKG,32h 40m,25h 15m,EWR ‐ PER,PER ‐ JFK,1:55 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$2230,1,2,HKG,"SYD, DFW",24h 35m,26h 44m,JFK ‐ PER,PER ‐ LGA,10:00 am — 10:35 pm +1,5:15 am — 7:59 pm,Cathay Pacific,Qantas Airways,best
$1653,1,2,CAN,"SYD, LAX",32h 40m,28h 22m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 4:17 pm +1,China Southern,Virgin Australia,best
$1678,2,2,"LAX, MEL","SYD, LAX",31h 35m,28h 22m,JFK ‐ PER,PER ‐ JFK,3:30 pm — 11:05 am +2,11:55 pm — 4:17 pm +1,Delta,Delta,best
$1715,1,2,CAN,"MEL, LAX",32h 40m,28h 50m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:50 pm — 4:40 pm +1,China Southern,Qantas Airways,best
$1738,1,1,CAN,DXB,32h 40m,28h 05m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,10:20 pm — 2:25 pm +1,China Southern,Emirates,best
$1668,1,2,CAN,"SYD, LAX",32h 40m,33h 16m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 9:11 pm +1,China Southern,Virgin Australia,best
$1477,1,2,DOH,"DOH, BOS",33h 20m,31h 06m,JFK ‐ PER,PER ‐ EWR,9:00 pm — 6:20 pm +2,10:50 pm — 5:56 pm +1,Qatar Airways,Qatar Airways,best
$1800,1,1,HKG,HKG,24h 35m,25h 15m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,25h 05m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,27h 35m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 10:45 pm,Cathay Pacific,Cathay Pacific,best
$1940,1,1,HKG,HKG,24h 35m,27h 00m,JFK ‐ PER,PER ‐ EWR,10:00 am — 10:35 pm +1,7:10 am — 10:10 pm,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,32h 20m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 8:15 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,33h 00m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,34h 50m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 10:45 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,33h 00m,25h 05m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1927,1,1,CAN,HKG,32h 40m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 1:10 pm +1,China Southern,Cathay Pacific,best
$1940,1,1,HKG,HKG,32h 40m,25h 15m,EWR ‐ PER,PER ‐ JFK,1:55 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$2230,1,2,HKG,"SYD, DFW",24h 35m,26h 44m,JFK ‐ PER,PER ‐ LGA,10:00 am — 10:35 pm +1,5:15 am — 7:59 pm,Cathay Pacific,Qantas Airways,best
$1653,1,2,CAN,"SYD, LAX",32h 40m,28h 22m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 4:17 pm +1,China Southern,Virgin Australia,best
$1678,2,2,"LAX, MEL","SYD, LAX",31h 35m,28h 22m,JFK ‐ PER,PER ‐ JFK,3:30 pm — 11:05 am +2,11:55 pm — 4:17 pm +1,Delta,Delta,best
$1715,1,2,CAN,"MEL, LAX",32h 40m,28h 50m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:50 pm — 4:40 pm +1,China Southern,Qantas Airways,best
$1738,1,1,CAN,DXB,32h 40m,28h 05m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,10:20 pm — 2:25 pm +1,China Southern,Emirates,best
$1668,1,2,CAN,"SYD, LAX",32h 40m,33h 16m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 9:11 pm +1,China Southern,Virgin Australia,best
$1477,1,2,DOH,"DOH, BOS",33h 20m,31h 06m,JFK ‐ PER,PER ‐ EWR,9:00 pm — 6:20 pm +2,10:50 pm — 5:56 pm +1,Qatar Airways,Qatar Airways,best
$1800,1,1,HKG,HKG,24h 35m,25h 15m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,25h 05m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,27h 35m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 10:45 pm,Cathay Pacific,Cathay Pacific,best
$1940,1,1,HKG,HKG,24h 35m,27h 00m,JFK ‐ PER,PER ‐ EWR,10:00 am — 10:35 pm +1,7:10 am — 10:10 pm,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,32h 20m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 8:15 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,33h 00m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,34h 50m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 10:45 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,33h 00m,25h 05m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1927,1,1,CAN,HKG,32h 40m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 1:10 pm +1,China Southern,Cathay Pacific,best
$1940,1,1,HKG,HKG,32h 40m,25h 15m,EWR ‐ PER,PER ‐ JFK,1:55 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$2230,1,2,HKG,"SYD, DFW",24h 35m,26h 44m,JFK ‐ PER,PER ‐ LGA,10:00 am — 10:35 pm +1,5:15 am — 7:59 pm,Cathay Pacific,Qantas Airways,best
$1653,1,2,CAN,"SYD, LAX",32h 40m,28h 22m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 4:17 pm +1,China Southern,Virgin Australia,best
$1678,2,2,"LAX, MEL","SYD, LAX",31h 35m,28h 22m,JFK ‐ PER,PER ‐ JFK,3:30 pm — 11:05 am +2,11:55 pm — 4:17 pm +1,Delta,Delta,best
$1715,1,2,CAN,"MEL, LAX",32h 40m,28h 50m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:50 pm — 4:40 pm +1,China Southern,Qantas Airways,best
$1738,1,1,CAN,DXB,32h 40m,28h 05m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,10:20 pm — 2:25 pm +1,China Southern,Emirates,best
$1668,1,2,CAN,"SYD, LAX",32h 40m,33h 16m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 9:11 pm +1,China Southern,Virgin Australia,best
$1477,1,2,DOH,"DOH, BOS",33h 20m,31h 06m,JFK ‐ PER,PER ‐ EWR,9:00 pm — 6:20 pm +2,10:50 pm — 5:56 pm +1,Qatar Airways,Qatar Airways,best
$1800,1,1,HKG,HKG,24h 35m,25h 15m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,25h 05m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,27h 35m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 10:45 pm,Cathay Pacific,Cathay Pacific,best
$1940,1,1,HKG,HKG,24h 35m,27h 00m,JFK ‐ PER,PER ‐ EWR,10:00 am — 10:35 pm +1,7:10 am — 10:10 pm,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,32h 20m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 8:15 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,33h 00m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,34h 50m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 10:45 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,33h 00m,25h 05m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1927,1,1,CAN,HKG,32h 40m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 1:10 pm +1,China Southern,Cathay Pacific,best
$1940,1,1,HKG,HKG,32h 40m,25h 15m,EWR ‐ PER,PER ‐ JFK,1:55 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$2230,1,2,HKG,"SYD, DFW",24h 35m,26h 44m,JFK ‐ PER,PER ‐ LGA,10:00 am — 10:35 pm +1,5:15 am — 7:59 pm,Cathay Pacific,Qantas Airways,best
$1653,1,2,CAN,"SYD, LAX",32h 40m,28h 22m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 4:17 pm +1,China Southern,Virgin Australia,best
$1678,2,2,"LAX, MEL","SYD, LAX",31h 35m,28h 22m,JFK ‐ PER,PER ‐ JFK,3:30 pm — 11:05 am +2,11:55 pm — 4:17 pm +1,Delta,Delta,best
$1715,1,2,CAN,"MEL, LAX",32h 40m,28h 50m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:50 pm — 4:40 pm +1,China Southern,Qantas Airways,best
$1738,1,1,CAN,DXB,32h 40m,28h 05m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,10:20 pm — 2:25 pm +1,China Southern,Emirates,best
$1668,1,2,CAN,"SYD, LAX",32h 40m,33h 16m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 9:11 pm +1,China Southern,Virgin Australia,best
$1477,1,2,DOH,"DOH, BOS",33h 20m,31h 06m,JFK ‐ PER,PER ‐ EWR,9:00 pm — 6:20 pm +2,10:50 pm — 5:56 pm +1,Qatar Airways,Qatar Airways,best
$1800,1,1,HKG,HKG,24h 35m,25h 15m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,25h 05m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,27h 35m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 10:45 pm,Cathay Pacific,Cathay Pacific,best
$1940,1,1,HKG,HKG,24h 35m,27h 00m,JFK ‐ PER,PER ‐ EWR,10:00 am — 10:35 pm +1,7:10 am — 10:10 pm,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,32h 20m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 8:15 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,33h 00m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,34h 50m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 10:45 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,33h 00m,25h 05m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1927,1,1,CAN,HKG,32h 40m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 1:10 pm +1,China Southern,Cathay Pacific,best
$1940,1,1,HKG,HKG,32h 40m,25h 15m,EWR ‐ PER,PER ‐ JFK,1:55 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$2230,1,2,HKG,"SYD, DFW",24h 35m,26h 44m,JFK ‐ PER,PER ‐ LGA,10:00 am — 10:35 pm +1,5:15 am — 7:59 pm,Cathay Pacific,Qantas Airways,best
$1653,1,2,CAN,"SYD, LAX",32h 40m,28h 22m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 4:17 pm +1,China Southern,Virgin Australia,best
$1678,2,2,"LAX, MEL","SYD, LAX",31h 35m,28h 22m,JFK ‐ PER,PER ‐ JFK,3:30 pm — 11:05 am +2,11:55 pm — 4:17 pm +1,Delta,Delta,best
$1715,1,2,CAN,"MEL, LAX",32h 40m,28h 50m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:50 pm — 4:40 pm +1,China Southern,Qantas Airways,best
$1738,1,1,CAN,DXB,32h 40m,28h 05m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,10:20 pm — 2:25 pm +1,China Southern,Emirates,best
$1668,1,2,CAN,"SYD, LAX",32h 40m,33h 16m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 9:11 pm +1,China Southern,Virgin Australia,best
$1477,1,2,DOH,"DOH, BOS",33h 20m,31h 06m,JFK ‐ PER,PER ‐ EWR,9:00 pm — 6:20 pm +2,10:50 pm — 5:56 pm +1,Qatar Airways,Qatar Airways,best
$1800,1,1,HKG,HKG,24h 35m,25h 15m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,25h 05m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,24h 35m,27h 35m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,7:10 am — 10:45 pm,Cathay Pacific,Cathay Pacific,best
$1940,1,1,HKG,HKG,24h 35m,27h 00m,JFK ‐ PER,PER ‐ EWR,10:00 am — 10:35 pm +1,7:10 am — 10:10 pm,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,32h 20m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 8:15 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,33h 00m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$1800,1,1,HKG,HKG,24h 35m,34h 50m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 10:45 pm +1,Cathay Pacific,Cathay Pacific,best
$1871,1,1,HKG,HKG,33h 00m,25h 05m,JFK ‐ PER,PER ‐ JFK,1:35 am — 10:35 pm +1,7:10 am — 8:15 pm,Cathay Pacific,Cathay Pacific,best
$1927,1,1,CAN,HKG,32h 40m,25h 15m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 1:10 pm +1,China Southern,Cathay Pacific,best
$1940,1,1,HKG,HKG,32h 40m,25h 15m,EWR ‐ PER,PER ‐ JFK,1:55 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
$2230,1,2,HKG,"SYD, DFW",24h 35m,26h 44m,JFK ‐ PER,PER ‐ LGA,10:00 am — 10:35 pm +1,5:15 am — 7:59 pm,Cathay Pacific,Qantas Airways,best
$1653,1,2,CAN,"SYD, LAX",32h 40m,28h 22m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 4:17 pm +1,China Southern,Virgin Australia,best
$1678,2,2,"LAX, MEL","SYD, LAX",31h 35m,28h 22m,JFK ‐ PER,PER ‐ JFK,3:30 pm — 11:05 am +2,11:55 pm — 4:17 pm +1,Delta,Delta,best
$1715,1,2,CAN,"MEL, LAX",32h 40m,28h 50m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:50 pm — 4:40 pm +1,China Southern,Qantas Airways,best
$1738,1,1,CAN,DXB,32h 40m,28h 05m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,10:20 pm — 2:25 pm +1,China Southern,Emirates,best
$1668,1,2,CAN,"SYD, LAX",32h 40m,33h 16m,JFK ‐ PER,PER ‐ JFK,1:45 am — 10:25 pm +1,11:55 pm — 9:11 pm +1,China Southern,Virgin Australia,best
$1477,1,2,DOH,"DOH, BOS",33h 20m,31h 06m,JFK ‐ PER,PER ‐ EWR,9:00 pm — 6:20 pm +2,10:50 pm — 5:56 pm +1,Qatar Airways,Qatar Airways,best
$1800,1,1,HKG,HKG,24h 35m,25h 15m,JFK ‐ PER,PER ‐ JFK,10:00 am — 10:35 pm +1,11:55 pm — 1:10 pm +1,Cathay Pacific,Cathay Pacific,best
